2023/186/23:03:55 D910 19 FBK     RECEIVE,GAC,4A,MSB,FPATH2,PTPR,6420
2023/186/23:06:00 D960 15 WAL S C PBK,START,GAC,4A,ESB
2023/186/23:07:55 D990 19     S C REC,END,GAC,4A
2023/186/23:08:00 E000 19 FBK     AOSH,074260
2023/186/23:08:20 E030 15 WAL S C PBK,END,GAC,4A,ESB
2023/186/23:08:20 E040 15 WAL     RECEIVE,GAC,2B,ESB,WPATH4,PTPR,6900
2023/186/23:08:25 E050 15 WAL     TAPE,LOG,GAC,2B,ESB,WPATH4,PTPR,6900
2023/186/23:08:30 E060 15 WAL S C PBK,START,GAC,2B,ESB
2023/186/23:08:40 E070 19 FBK     CMT,HRPT,074260,LSB
2023/186/23:08:45 E080 19 FBK     TAPE,LOG,HRPT,074260,LSB,FPATH1,WB,680
2023/186/23:08:50 E090 19 FBK     TAPE,LOG,GAC,4A,MSB,FPATH2,PTPR,6420
2023/186/23:09:00 E100 01 FBK     AOS,056022
2023/186/23:09:50 E170 19 FBK S C PBK,START,GAC,4A,MSB
2023/186/23:09:50 E180 01 FBK     CMT,MHRPT,056022,NW in use
2023/186/23:11:42 E210 15 WAL S C PBK,END,GAC,2B,ESB
2023/186/23:12:50 E220 19 FBK S C PBK,END,GAC,4A,MSB
2023/186/23:15:50 E250 15 WAL     CMT,HRPT,END
2023/186/23:17:10 E320 15 WAL     INGEST,GAC,4A,030795,WB,SPATH1,DPSS,4800
2023/186/23:17:15 E330 15 WAL     XFR,START,GAC,4A,030795,PTPR,WB,4800,ESB,2023/186/23:06:00,2023/186/23:08:20
2023/186/23:19:35 E340 15 WAL     CMT,GAC,4A,XFR,END
2023/186/23:19:35 E350 15 WAL     XFR,END,GAC,4A,030795
2023/186/23:19:50 E370 15 WAL     INGEST,GAC,2B,030795,WB,SPATH1,DPSS,6900
2023/186/23:19:55 E380 15 WAL     XFR,START,GAC,2B,030795,PTPR,WB,6900,ESB,2023/186/23:08:30,2023/186/23:11:42
2023/186/23:21:00 E410 19 FBK     CMT,HRPT,END
2023/186/23:22:00 E500 19 FBK     INGEST,GAC,4A,074260,WB,SPATH2,DPSS,6420
2023/186/23:22:05 E510 19 FBK     XFR,START,GAC,4A,074260,PTPR,WB,6420,MSB,2023/186/23:09:50,2023/186/23:12:50
2023/186/23:22:30 E520 01 FBK     CMT,MHRPT,END
2023/186/23:23:07 E550 15 WAL     CMT,GAC,2B,XFR,END
2023/186/23:23:07 E560 15 WAL     XFR,END,GAC,2B,030795
2023/186/23:25:05 E580 19 FBK     CMT,GAC,4A,XFR,END
2023/186/23:25:05 E590 19 FBK     XFR,END,GAC,4A,074260
2023/186/23:38:00 E640 11 FBK     AOS,060561
2023/186/23:54:40 E750 23 GEN     AOS,034917
2023/187/00:00:50 E940 03 FBK     AOS,024180
2023/187/00:01:40 E960 03 FBK     CMT,MHRPT,024180,NW in use
2023/187/00:03:25 E990 18     S C REC,START,GAC,2A
2023/187/00:09:20 F000 18     S C REC,END,GAC,3B
2023/187/00:13:20 F040 03 FBK     CMT,MHRPT,END
2023/187/00:26:40 F110 19     S C REC,START,GAC,1B
2023/187/00:28:15 F130 19 WAL     RECEIVE,HRPT,074261,LSB,WPATH1,WB,760
2023/187/00:28:25 F140 19 WAL     INGEST,HRPT,074261,WB,SPATH1,DPSS
2023/187/00:28:35 F150 19 WAL     RECEIVE,GAC,5A,MSB,WPATH2,PTPR,5425
2023/187/00:32:35 F190 19     S C REC,END,GAC,5A
2023/187/00:32:40 F200 19 WAL     AOSH,074261
2023/187/00:33:20 F230 19 WAL     CMT,HRPT,074261,LSB
2023/187/00:33:25 F240 19 WAL     TAPE,LOG,HRPT,074261,LSB,WPATH1,WB,760
2023/187/00:33:30 F250 19 WAL     TAPE,LOG,GAC,5A,MSB,WPATH2,PTPR,5425
2023/187/00:34:20 F300 01 WAL     AOS,056023
2023/187/00:34:30 F330 19 WAL S C PBK,START,GAC,5A,MSB
2023/187/00:34:50 F340 01 WAL     CMT,MHRPT,056023,NW in use
2023/187/00:37:06 F380 19 WAL S C PBK,END,GAC,5A,MSB
2023/187/00:45:35 F430 15     S C REC,START,GAC,1A
2023/187/00:46:00 F440 01 WAL     CMT,MHRPT,END
2023/187/00:47:00 F470 19 WAL     CMT,HRPT,END
2023/187/00:48:40 F580 19 WAL     INGEST,GAC,5A,074261,WB,SPATH1,DPSS,5425
2023/187/00:48:45 F590 19 WAL     XFR,START,GAC,5A,074261,PTPR,WB,5425,MSB,2023/187/00:34:30,2023/187/00:37:06
2023/187/00:51:20 F600 19 WAL     CMT,GAC,5A,XFR,END
2023/187/00:51:20 F610 19 WAL     XFR,END,GAC,5A,074261
2023/187/00:51:30 F620 15     S C REC,END,GAC,3B
2023/187/00:59:30 F660 24 KRN     AOS,012250
2023/187/01:02:10 F680 66 FBK     AOS,003208
2023/187/01:05:10 F720 18     S C REC,START,GAC,5B
2023/187/01:06:45 F740 18 WAL     RECEIVE,HRPT,093424,HSB,WPATH3,WB,540
2023/187/01:06:55 F750 18 WAL     INGEST,HRPT,093424,WB,SPATH1,DPSS
2023/187/01:07:05 F760 18 WAL     RECEIVE,GAC,2A,LSB,WPATH1,PTPR,4050
2023/187/01:07:15 F770 18 WAL     RECEIVE,GAC,3B,MSB,WPATH2,PTPR,6900
2023/187/01:11:05 F800 18     S C REC,END,GAC,2A
2023/187/01:11:10 F810 18 WAL     AOSL,093424
2023/187/01:11:50 F840 18 WAL     CMT,HRPT,093424,HSB
2023/187/01:11:55 F850 18 WAL     TAPE,LOG,HRPT,093424,HSB,WPATH3,WB,540
2023/187/01:12:00 F860 18 WAL     TAPE,LOG,GAC,2A,LSB,WPATH1,PTPR,4050
2023/187/01:12:05 F870 18 WAL     TAPE,LOG,GAC,3B,MSB,WPATH2,PTPR,6900
2023/187/01:13:00 F890 18 WAL S C PBK,START,GAC,2A,LSB
2023/187/01:13:15 F910 18 WAL S C PBK,START,GAC,3B,MSB
2023/187/01:15:01 F970 18 WAL S C PBK,END,GAC,2A,LSB
2023/187/01:15:01 F980 18 WAL     RECEIVE,GAC,2B,LSB,WPATH1,PTPR,6900
2023/187/01:15:06 F990 18 WAL     TAPE,LOG,GAC,2B,LSB,WPATH1,PTPR,6900
2023/187/01:15:11 G010 18 WAL S C PBK,START,GAC,2B,LSB
2023/187/01:16:27 G040 18 WAL S C PBK,END,GAC,3B,MSB
2023/187/01:16:27 G050 18 WAL     RECEIVE,GAC,4A,MSB,WPATH2,PTPR,6900
2023/187/01:16:32 G060 18 WAL     TAPE,LOG,GAC,4A,MSB,WPATH2,PTPR,6900
2023/187/01:16:37 G070 18 WAL S C PBK,START,GAC,4A,MSB
2023/187/01:18:23 G090 18 WAL S C PBK,END,GAC,2B,LSB
2023/187/01:19:49 G100 18 WAL S C PBK,END,GAC,4A,MSB
2023/187/01:21:50 G160 18 WAL     CMT,HRPT,END
2023/187/01:22:10 G180 11 FBK     AOS,060562
2023/187/01:23:00 G290 18 WAL     INGEST,GAC,2A,093424,WB,SPATH1,DPSS,4050
2023/187/01:23:05 G300 18 WAL     XFR,START,GAC,2A,093424,PTPR,WB,4050,LSB,2023/187/01:13:00,2023/187/01:15:01
2023/187/01:25:00 G310 03 WAL     AOS,024181
2023/187/01:25:06 G330 18 WAL     CMT,GAC,2A,XFR,END
2023/187/01:25:06 G340 18 WAL     XFR,END,GAC,2A,093424
2023/187/01:25:21 G360 18 WAL     INGEST,GAC,3B,093424,WB,SPATH1,DPSS,6900
2023/187/01:25:26 G370 18 WAL     XFR,START,GAC,3B,093424,PTPR,WB,6900,MSB,2023/187/01:13:15,2023/187/01:16:27
2023/187/01:25:40 G380 03 WAL     CMT,MHRPT,024181,NW in use
2023/187/01:28:38 G410 18 WAL     CMT,GAC,3B,XFR,END
2023/187/01:28:38 G420 18 WAL     XFR,END,GAC,3B,093424
2023/187/01:28:53 G440 18 WAL     INGEST,GAC,2B,093424,WB,SPATH1,DPSS,6900
2023/187/01:28:58 G450 18 WAL     XFR,START,GAC,2B,093424,PTPR,WB,6900,LSB,2023/187/01:15:11,2023/187/01:18:23
2023/187/01:32:10 G480 18 WAL     CMT,GAC,2B,XFR,END
2023/187/01:32:10 G490 18 WAL     XFR,END,GAC,2B,093424
2023/187/01:32:25 G510 18 WAL     INGEST,GAC,4A,093424,WB,SPATH1,DPSS,6900
2023/187/01:32:30 G520 18 WAL     XFR,START,GAC,4A,093424,PTPR,WB,6900,MSB,2023/187/01:16:37,2023/187/01:19:49
2023/187/01:35:42 G560 18 WAL     CMT,GAC,4A,XFR,END
2023/187/01:35:42 G570 18 WAL     XFR,END,GAC,4A,093424
2023/187/01:39:00 G620 03 WAL     CMT,MHRPT,END
2023/187/01:53:00 G660 23 GEN     AOS,034918
2023/187/02:08:10 G720 19     S C REC,START,GAC,2A
2023/187/02:09:45 G740 19 WAL     RECEIVE,HRPT,074262,LSB,WPATH1,WB,650
2023/187/02:09:55 G750 19 WAL     INGEST,HRPT,074262,WB,SPATH1,DPSS
2023/187/02:10:05 G760 19 WAL     RECEIVE,GAC,1B,MSB,WPATH2,PTPR,6435
2023/187/02:12:30 G790 01 WAL     AOS,056024
2023/187/02:12:30 G810 01 WAL     CMT,MHRPT,056024,NW in use
2023/187/02:14:05 G880 19     S C REC,END,GAC,1B
2023/187/02:14:10 G890 19 WAL     AOSH,074262
2023/187/02:14:40 G930 19 WAL     CMT,HRPT,074262,LSB
2023/187/02:14:45 G940 19 WAL     TAPE,LOG,HRPT,074262,LSB,WPATH1,WB,650
2023/187/02:14:50 G950 19 WAL     TAPE,LOG,GAC,1B,MSB,WPATH2,PTPR,6435
2023/187/02:15:50 G980 19 WAL S C PBK,START,GAC,1B,MSB
2023/187/02:18:51 H020 19 WAL S C PBK,END,GAC,1B,MSB
2023/187/02:24:37 A000 15 MON     AOSH,030797
2023/187/02:25:27 A010 15 MON     CMT,HRPT,030797
2023/187/02:26:20 H120 15     S C REC,START,GAC,4A
2023/187/02:26:30 H130 19 WAL     CMT,HRPT,END
2023/187/02:26:50 H140 01 WAL     CMT,MHRPT,END
2023/187/02:27:55 H170 15 FBK     RECEIVE,HRPT,030797,MSB,FPATH2,WB,760
2023/187/02:28:05 H180 15 FBK     INGEST,HRPT,030797,WB,SPATH2,DPSS
2023/187/02:28:15 H200 15 FBK     RECEIVE,GAC,1A,ESB,FPATH4,PTPR,6390
2023/187/02:29:00 H270 19 WAL     INGEST,GAC,1B,074262,WB,SPATH1,DPSS,6435
2023/187/02:29:05 H280 19 WAL     XFR,START,GAC,1B,074262,PTPR,WB,6435,MSB,2023/187/02:15:50,2023/187/02:18:51
2023/187/02:32:05 H310 19 WAL     CMT,GAC,1B,XFR,END
2023/187/02:32:05 H320 19 WAL     XFR,END,GAC,1B,074262
2023/187/02:32:15 H330 15     S C REC,END,GAC,1A
2023/187/02:32:20 H340 15 FBK     AOSL,030797
2023/187/02:33:10 H380 15 FBK     CMT,HRPT,030797,MSB
2023/187/02:33:15 H390 15 FBK     TAPE,LOG,HRPT,030797,MSB,FPATH2,WB,760
2023/187/02:33:20 H400 15 FBK     TAPE,LOG,GAC,1A,ESB,FPATH4,PTPR,6390
2023/187/02:34:20 H460 15 FBK S C PBK,START,GAC,1A,ESB
2023/187/02:37:13 A020 15 MON     CMT,HRPT,END
2023/187/02:37:20 H480 15 FBK S C PBK,END,GAC,1A,ESB
2023/187/02:37:20 H490 15 FBK     RECEIVE,GAC,3B,ESB,FPATH4,PTPR,6900
2023/187/02:37:25 H500 15 FBK     TAPE,LOG,GAC,3B,ESB,FPATH4,PTPR,6900
2023/187/02:37:30 H510 15 FBK S C PBK,START,GAC,3B,ESB
2023/187/02:40:42 H520 15 FBK S C PBK,END,GAC,3B,ESB
2023/187/02:46:50 H550 15 FBK     CMT,HRPT,END
2023/187/02:47:40 H620 15 FBK     INGEST,GAC,1A,030797,WB,SPATH2,DPSS,6390
2023/187/02:47:45 H630 15 FBK     XFR,START,GAC,1A,030797,PTPR,WB,6390,ESB,2023/187/02:34:20,2023/187/02:37:20
2023/187/02:50:44 H640 15 FBK     CMT,GAC,1A,XFR,END
2023/187/02:50:44 H650 15 FBK     XFR,END,GAC,1A,030797
2023/187/02:50:59 H670 15 FBK     INGEST,GAC,3B,030797,WB,SPATH2,DPSS,6900
2023/187/02:51:04 H680 15 FBK     XFR,START,GAC,3B,030797,PTPR,WB,6900,ESB,2023/187/02:37:30,2023/187/02:40:42
2023/187/02:54:16 H700 15 FBK     CMT,GAC,3B,XFR,END
2023/187/02:54:16 H710 15 FBK     XFR,END,GAC,3B,030797
2023/187/02:54:25 H720 18     S C REC,START,GAC,3B
2023/187/02:55:10 H740 24 KRN     AOS,012251
2023/187/03:00:20 H760 18     S C REC,END,GAC,5B
2023/187/03:06:00 H790 03 WAL     AOS,024182
2023/187/03:06:30 H810 03 WAL     CMT,MHRPT,024182,NW in use
2023/187/03:18:00 H890 03 WAL     CMT,MHRPT,END
2023/187/03:49:50 H940 23 GEN     AOS,034919
2023/187/03:56:50 A000 01 MON     AOSH,056025
2023/187/03:57:25 I000 19     S C REC,START,GAC,3B
2023/187/03:57:40 A010 01 MON     CMT,HRPT,056025
2023/187/04:00:25 I030 19 FBK     RECEIVE,HRPT,074263,LSB,FPATH1,WB,810
2023/187/04:00:35 I040 19 FBK     INGEST,HRPT,074263,WB,SPATH2,DPSS
2023/187/04:00:45 I070 19 FBK     RECEIVE,GAC,2A,MSB,FPATH2,PTPR,6900
